DT_REFER;CD_CVM;VL_CONTA_1.01;VL_CONTA_1.01.01;VL_CONTA_1.02.03;VL_CONTA_2.01;VL_CONTA_2.01.03;VL_CONTA_2.01.04;VL_CONTA_2.02.01;VL_CONTA_3.11;VL_CONTA_6.01;VL_CONTA_6.02;VL_CONTA_6.03;VL_CONTA_7.04.01;VL_CONTA_PENULTIMO_1.01;VL_CONTA_PENULTIMO_1.01.01;VL_CONTA_PENULTIMO_1.02.03;VL_CONTA_PENULTIMO_2.01;VL_CONTA_PENULTIMO_2.01.03;VL_CONTA_PENULTIMO_2.01.04;VL_CONTA_PENULTIMO_2.02.01;VL_CONTA_PENULTIMO_6.01;VL_CONTA_PENULTIMO_6.02;VL_CONTA_PENULTIMO_6.03;VL_CONTA_1.01_pred_arimax;VL_CONTA_1.01.01_pred_arimax;VL_CONTA_1.02.03_pred_arimax;VL_CONTA_2.01_pred_arimax;VL_CONTA_2.01.04_pred_arimax;VL_CONTA_2.02.01_pred_arimax;VL_CONTA_PENULTIMO_1.01_pred_arimax;VL_CONTA_PENULTIMO_1.01.01_pred_arimax;VL_CONTA_PENULTIMO_1.02.03_pred_arimax;VL_CONTA_PENULTIMO_2.01_pred_arimax;VL_CONTA_PENULTIMO_2.01.04_pred_arimax;VL_CONTA_PENULTIMO_2.02.01_pred_arimax;VL_CONTA_3.11_pred_arimax;VL_CONTA_7.04.01_pred_arimax
2011-04-10;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7201681.318681318;-13915000.0;511000.0;72824329.67032968;-521295000.0;60901439.56043956;-467860000.0;-413989.010989011;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5344494.505494505;-55983230.76923077;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198271.1966539174;0.0;0.0;0.0;72840902.23327047;-414097.8163624673
2011-04-11;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7170549.450549451;-13915000.0;511000.0;72823362.63736264;-521295000.0;60895483.516483516;-467860000.0;-418087.9120879121;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5378043.956043956;-56298153.84615385;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198265.7235897598;0.0;0.0;0.0;72839935.26779583;-418196.58669652016
2011-04-12;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7139417.582417582;-13915000.0;511000.0;72822395.6043956;-521295000.0;60889527.472527474;-467860000.0;-422186.8131868132;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5411593.406593407;-56613076.92307692;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198260.2920429828;0.0;0.0;0.0;72838968.30232117;-422295.35703057295
2011-04-13;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7108285.714285715;-13915000.0;511000.0;72821428.57142857;-521295000.0;60883571.428571425;-467860000.0;-426285.71428571426;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5445142.857142857;-56928000.0;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198254.9020056976;0.0;0.0;0.0;72838001.33684652;-426394.12736462575
2011-04-14;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7077153.846153846;-13915000.0;511000.0;72820461.53846154;-521295000.0;60877615.384615384;-467860000.0;-430384.6153846154;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5478692.307692308;-57242923.07692308;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198249.5534630348;0.0;0.0;0.0;72837034.3713719;-430492.8976986784
2011-04-15;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7046021.978021978;-13915000.0;511000.0;72819494.5054945;-521295000.0;60871659.34065934;-467860000.0;-434483.5164835165;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5512241.758241759;-57557846.15384615;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198244.2463932582;0.0;0.0;0.0;72836067.40589726;-434591.6680327313
2011-04-16;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7014890.10989011;-13915000.0;511000.0;72818527.47252747;-521295000.0;60865703.296703294;-467860000.0;-438582.4175824176;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5545791.208791208;-57872769.23076923;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198238.9807678745;0.0;0.0;0.0;72835100.44042264;-438690.4383667842
2011-04-17;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6983758.241758242;-13915000.0;511000.0;72817560.43956044;-521295000.0;60859747.25274725;-467860000.0;-442681.31868131866;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5579340.659340659;-58187692.307692304;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198233.7565517472;0.0;0.0;0.0;72834133.47494802;-442789.2087008369
2011-04-18;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6952626.373626374;-13915000.0;511000.0;72816593.40659341;-521295000.0;60853791.20879121;-467860000.0;-446780.2197802198;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5612890.10989011;-58502615.384615384;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198228.5737032094;0.0;0.0;0.0;72833166.50947337;-446887.9790348896
2011-04-19;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6921494.505494505;-13915000.0;511000.0;72815626.37362637;-521295000.0;60847835.16483516;-467860000.0;-450879.1208791209;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5646439.560439561;-58817538.461538464;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198223.4321741778;0.0;0.0;0.0;72832199.54399875;-450986.74936894246
2011-04-20;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6890362.637362638;-13915000.0;511000.0;72814659.34065934;-521295000.0;60841879.12087912;-467860000.0;-454978.02197802195;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5679989.010989011;-59132461.538461536;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198218.3319102707;0.0;0.0;0.0;72831232.57852405;-455085.51970299525
2011-04-21;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6859230.769230769;-13915000.0;511000.0;72813692.3076923;-521295000.0;60835923.07692308;-467860000.0;-459076.92307692306;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5713538.461538462;-59447384.615384616;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198213.2728509195;0.0;0.0;0.0;72830265.61304943;-459184.29003704793
2011-04-22;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6828098.901098901;-13915000.0;511000.0;72812725.27472527;-521295000.0;60829967.03296703;-467860000.0;-463175.8241758242;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5747087.912087912;-59762307.692307696;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198208.2549294857;0.0;0.0;0.0;72829298.64757481;-463283.0603711008
2011-04-23;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6796967.032967033;-13915000.0;511000.0;72811758.24175824;-521295000.0;60824010.98901099;-467860000.0;-467274.72527472524;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5780637.362637362;-60077230.76923077;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198203.2780733798;0.0;0.0;0.0;72828331.68210018;-467381.8307051536
2011-04-24;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6765835.164835165;-13915000.0;511000.0;72810791.20879121;-521295000.0;60818054.94505495;-467860000.0;-471373.62637362635;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5814186.813186813;-60392153.84615385;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198198.342204174;0.0;0.0;0.0;72827364.71662556;-471480.60103920626
2011-04-25;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6734703.296703297;-13915000.0;511000.0;72809824.17582418;-521295000.0;60812098.9010989;-467860000.0;-475472.52747252746;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5847736.263736264;-60707076.92307692;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198193.447237723;0.0;0.0;0.0;72826397.75115092;-475579.3713732591
2011-04-26;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6703571.428571429;-13915000.0;511000.0;72808857.14285715;-521295000.0;60806142.85714286;-467860000.0;-479571.4285714286;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5881285.714285715;-61022000.0;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198188.5930842785;0.0;0.0;0.0;72825430.78567629;-479678.141707312
2011-04-27;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6672439.560439561;-13915000.0;511000.0;72807890.1098901;-521295000.0;60800186.81318682;-467860000.0;-483670.3296703297;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5914835.164835165;-61336923.07692308;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198183.7796486076;0.0;0.0;0.0;72824463.82020167;-483776.9120413648
2011-04-28;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6641307.692307692;-13915000.0;511000.0;72806923.07692307;-521295000.0;60794230.76923077;-467860000.0;-487769.23076923075;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5948384.615384615;-61651846.15384615;-288717495.65549535;402074933.5233413;142919.1066329911;-138391223.8617232;-13909096.039216604;550592.9283987451;0.0;0.0;1198179.0068301097;0.0;0.0;0.0;72823496.854727;-487875.6823754177
