DT_REFER;CD_CVM;FCFE;FCFE_pred_arimax;VL_CONTA_1.01;VL_CONTA_1.01.01;VL_CONTA_1.02.03;VL_CONTA_2.01;VL_CONTA_2.01.04;VL_CONTA_2.02.01;VL_CONTA_PENULTIMO_1.01;VL_CONTA_PENULTIMO_1.01.01;VL_CONTA_PENULTIMO_1.02.03;VL_CONTA_PENULTIMO_2.01;VL_CONTA_PENULTIMO_2.01.04;VL_CONTA_PENULTIMO_2.02.01;VL_CONTA_3.11;VL_CONTA_7.04.01;VL_CONTA_1.01_pred_arimax;VL_CONTA_1.01.01_pred_arimax;VL_CONTA_1.02.03_pred_arimax;VL_CONTA_2.01_pred_arimax;VL_CONTA_2.01.04_pred_arimax;VL_CONTA_2.02.01_pred_arimax;VL_CONTA_PENULTIMO_1.01_pred_arimax;VL_CONTA_PENULTIMO_1.01.01_pred_arimax;VL_CONTA_PENULTIMO_1.02.03_pred_arimax;VL_CONTA_PENULTIMO_2.01_pred_arimax;VL_CONTA_PENULTIMO_2.01.04_pred_arimax;VL_CONTA_PENULTIMO_2.02.01_pred_arimax;VL_CONTA_3.11_pred_arimax;VL_CONTA_7.04.01_pred_arimax
2014-06-30;20257.0;1946629000.0;1946242089.408465;263231000.0;10725146000.0;12844000.0;-3577947000.0;365710000.0;2079125000.0;706632000.0;-293438000.0;209154000.0;789354000.0;888143000.0;1937924000.0;80081000.0;-735000.0;549118883.1827203;6329898893.819852;11269802.361750431;-2054136768.3707433;518813277.36905074;2078785185.1559188;706681342.3323218;-293457236.9464758;130033423.64370441;789409665.8729154;888205699.9196926;1938190304.4888499;80263319.54826476;-734834.2315058014
2014-09-30;20257.0;28923000.0;27485795.979994327;751327000.0;12027909000.0;9274000.0;-3907334000.0;384833000.0;1906297000.0;706632000.0;-293438000.0;248721000.0;789354000.0;888143000.0;1937924000.0;497621000.0;-1080000.0;1034015654.3236513;7232998851.954331;7556967.189302999;-2245111827.5152564;551768800.4213676;1905996380.5708857;706681342.3323218;-293457236.9464758;155216867.80836385;789409665.8729154;888205699.9196926;1938358416.9435344;495600078.0876439;-1079837.9126113316
2015-03-31;20257.0;-43303000.0;-43379939.19381684;740152000.0;12944583000.0;12329000.0;-4424567000.0;340278000.0;1896900000.0;705550000.0;-312725000.0;293199000.0;443551000.0;551789000.0;1752309000.0;201933000.0;-405000.0;1023932938.2363551;7751909187.444342;10468137.480662484;-2623803835.1499023;521112280.33865243;1896586490.1161563;705599417.6678927;-312742970.6405012;184112368.34154826;443630844.9344244;551875263.589865;1753016979.6779785;202692465.94875228;-405160.3062085732
2015-06-30;20257.0;-104288000.0;-101609730.83071536;727443000.0;13934851000.0;11774000.0;-4447148000.0;696517000.0;1443799000.0;705550000.0;-312725000.0;339960000.0;443551000.0;551789000.0;1752309000.0;240521000.0;-794000.0;1011230650.2662605;8341835764.464138;9771142.335946672;-2508169996.3324914;890998029.508055;1443555483.5240808;705599266.9967508;-312745503.2524504;214092740.67344257;443582486.81140625;551828136.2495204;1753137883.1195824;240356230.57678664;-793815.2322514519
2015-09-30;20257.0;608028000.0;609557258.9684732;766662000.0;15332938000.0;11338000.0;-4887548000.0;625305000.0;1469017000.0;705550000.0;-312725000.0;390318000.0;443551000.0;551789000.0;1752309000.0;158993000.0;-1222000.0;1050224908.206316;9337701515.334103;9192486.055010682;-2810022545.208913;833758413.9182656;1468698849.8205566;705599266.9967508;-312745503.2524504;246471178.23723343;443582486.81140625;551828136.2495204;1753289917.1422756;159419311.62802905;-1221798.9176743475
2016-03-31;20257.0;1180703000.0;1179051578.2884295;592837000.0;16525977000.0;10958000.0;-5968670000.0;-126182000.0;1713630000.0;1000816000.0;-282137000.0;442903000.0;700208000.0;810537000.0;1320712000.0;253685000.0;-1145000.0;876863449.8989502;10130074478.0652;8669835.389412066;-3752310074.4563046;96554115.92027283;1713294639.8223934;1000844821.0812361;-282159500.5618931;279877957.11802655;700221639.0358751;810558108.4118768;1322089947.0487707;253478095.45951632;-1145018.186854539
2016-06-30;20257.0;-694417000.0;-693637370.8294685;331456000.0;17391392000.0;10547000.0;-6414037000.0;-113011000.0;1708125000.0;1000816000.0;-282137000.0;500455000.0;700208000.0;810537000.0;1320712000.0;207207000.0;-1785000.0;615865552.5028245;10595393676.774532;8116200.318054921;-4059331741.775597;123428930.31589341;1707829095.430644;1000885937.5926559;-282155483.99455225;317052227.1336657;700257530.716339;810594362.1952701;1322132009.4536521;207463944.69222185;-1784696.0119304096
2016-09-30;20257.0;19064000.0;19890742.33713758;584874000.0;18499296000.0;10484000.0;-6719317000.0;-65480000.0;1742326000.0;1000816000.0;-282137000.0;561604000.0;700208000.0;810537000.0;1320712000.0;217556000.0;-2491000.0;867055525.467986;11300060578.654243;7910498.05157108;-4226239031.437687;184776682.08354545;1742023899.9714794;1000885937.5926559;-282155483.99455225;356624829.2251967;700257530.716339;810594362.1952701;1322246457.5245974;217531782.8906597;-2490668.308126377
2017-03-31;20257.0;62436000.0;62672325.92982104;755394000.0;19577448000.0;10556000.0;-6545571000.0;463626000.0;901787000.0;873482000.0;-313073000.0;625064000.0;766151000.0;855353000.0;893808000.0;201367000.0;-815000.0;1037756886.1955173;11975618945.111158;7839814.87458973;-3914350077.274259;727455999.0645263;901553894.2037241;873560803.377855;-313089452.86261725;397309754.7046268;766195919.8834281;855407222.5583327;895699435.2738042;201433658.75231832;-815398.0343786202
2017-06-30;20257.0;1533662000.0;1534030667.475793;682405000.0;20533549000.0;9691000.0;-6871942000.0;479052000.0;924789000.0;873482000.0;-313073000.0;693407000.0;766151000.0;855353000.0;893808000.0;72034000.0;-1624000.0;965833363.5230621;12529532854.365238;6832323.847342359;-4102197721.5318966;756848538.1298006;924419672.3588176;873543071.807457;-313093515.12648726;441678205.51775664;766205141.5492499;855413501.8322074;895705305.2852168;72701697.79145357;-1623615.7400807831
