DT_REFER;CD_CVM;VL_CONTA_1.01;VL_CONTA_1.01.01;VL_CONTA_1.02.03;VL_CONTA_2.01;VL_CONTA_2.01.03;VL_CONTA_2.01.04;VL_CONTA_2.02.01;VL_CONTA_3.11;VL_CONTA_6.01;VL_CONTA_6.02;VL_CONTA_6.03;VL_CONTA_7.04.01;VL_CONTA_PENULTIMO_1.01;VL_CONTA_PENULTIMO_1.01.01;VL_CONTA_PENULTIMO_1.02.03;VL_CONTA_PENULTIMO_2.01;VL_CONTA_PENULTIMO_2.01.03;VL_CONTA_PENULTIMO_2.01.04;VL_CONTA_PENULTIMO_2.02.01;VL_CONTA_PENULTIMO_6.01;VL_CONTA_PENULTIMO_6.02;VL_CONTA_PENULTIMO_6.03;VL_CONTA_1.01_pred_glm;VL_CONTA_1.01.01_pred_glm;VL_CONTA_1.02.03_pred_glm;VL_CONTA_2.01_pred_glm;VL_CONTA_2.01.04_pred_glm;VL_CONTA_2.02.01_pred_glm;VL_CONTA_PENULTIMO_1.01_pred_glm;VL_CONTA_PENULTIMO_1.01.01_pred_glm;VL_CONTA_PENULTIMO_1.02.03_pred_glm;VL_CONTA_PENULTIMO_2.01_pred_glm;VL_CONTA_PENULTIMO_2.01.04_pred_glm;VL_CONTA_PENULTIMO_2.02.01_pred_glm;VL_CONTA_3.11_pred_glm;VL_CONTA_7.04.01_pred_glm
2013-09-30;20257.0;70458000.0;379762000.0;3349000.0;-212185000.0;35143000.0;-358152000.0;-201577000.0;477947000.0;-643271000.0;-212574000.0;-266437000.0;-1369000.0;0.0;0.0;3518000.0;0.0;0.0;0.0;0.0;65805000.0;-2388887000.0;2242309000.0;4548004.559644661;-11269021.458526704;3993972.8522899942;-365756481.91140443;-203073057.52707124;201809783.15864423;-128580203.74058078;-31372430.591377694;10588295.998034239;459871.7787374514;-185653.3045728095;129744488.09346147;447001970.0580473;-7621248.412565779
2013-12-31;20257.0;101978500.0;209582500.0;138000.0;-21738000.0;37662000.0;-91056000.0;-151702000.0;294726500.0;-793121000.0;-219148500.0;390173000.0;-877500.0;-987323000.0;-208778000.0;4460500.0;227304000.0;-5392000.0;260222500.0;-445558500.0;-296077000.0;-1197699500.0;966951000.0;47563208.76255529;-22461799.29482756;707229.2082530224;-96525043.10387991;-17294220.29403083;-220888570.47530857;-302415508.8117257;-60875013.19198276;974190.2105609933;249876513.3281281;239083812.00379154;-486571952.3121266;318955326.0584467;-4239893.616843555
2014-03-31;20257.0;133499000.0;39403000.0;-3073000.0;168709000.0;40181000.0;176040000.0;-101827000.0;111506000.0;-942971000.0;-225723000.0;1046783000.0;-386000.0;-1974646000.0;-417556000.0;5403000.0;454608000.0;-10784000.0;520445000.0;-891117000.0;-657959000.0;-6512000.0;-308407000.0;90578412.96546593;-33654577.131128415;-2579514.435783949;172706395.7036446;168484616.9390096;-643586924.1092613;-476250813.8828706;-90377595.79258785;-8639915.576912254;499293154.8775188;478353277.3121559;-1102888392.7177148;190908682.05884615;-858538.8211213341
2014-06-30;20257.0;-251105000.0;-196866000.0;-330000.0;-556614000.0;60336000.0;-541686000.0;78371000.0;80081000.0;1843840000.0;16071000.0;-790952000.0;-735000.0;0.0;0.0;-10806000.0;0.0;0.0;0.0;891117000.0;647008000.0;-180216000.0;-744639000.0;61944741.80295772;158837450.4005433;-6194958.455236147;-550757840.5618529;-539059547.8857479;279131165.51522195;228568649.35641772;108477600.09478092;2624220.7866235636;459871.7787374514;-185653.3045728095;41081148.06247877;158641488.18624198;-278586.93552135583
2014-09-30;20257.0;488096000.0;350744000.0;-4472000.0;389810000.0;105160000.0;378113000.0;-172828000.0;497621000.0;-775511000.0;-97083000.0;-278119000.0;-1080000.0;0.0;0.0;5403000.0;0.0;0.0;0.0;0.0;68621000.0;-212574000.0;-1011076000.0;-272223283.14408994;-33654577.131128415;4535719.592225308;376394974.0955071;384166075.2505738;66667023.48466791;-105257933.41737403;-25618077.61474476;8635765.216325462;459871.7787374514;-185653.3045728095;-116517984.53859468;141873511.4565954;-7984334.280419206
2014-12-31;20257.0;238460500.0;-17672500.0;1076500.0;100982000.0;57957500.0;157217500.0;-91112500.0;349777000.0;-1221586500.0;-250837000.0;373058500.0;-742500.0;-541000.0;-9643500.0;3358500.0;-172901500.0;616000.0;-168177000.0;-92807500.0;-403424500.0;-219148500.0;-487684500.0;-24649840.979607373;-9374859.055460405;5849762.944333589;153733409.37305698;102417714.81252754;131298264.77470091;-255639299.6192558;-22297009.125554122;2530326.798762493;-182124318.76198277;-158460481.81550488;-27889646.45065648;182399007.14402086;-5255856.7442332655
2015-03-31;20257.0;-11175000.0;-386089000.0;6625000.0;-187846000.0;10755000.0;-63678000.0;-9397000.0;201933000.0;-1667662000.0;-404591000.0;1024236000.0;-405000.0;-1082000.0;-19287000.0;1314000.0;-345803000.0;1232000.0;-336354000.0;-185615000.0;-875470000.0;-225723000.0;35707000.0;222923601.18487528;14904859.020207606;7163806.296441869;-68928155.3493931;-179330645.62551874;195929506.06473392;-406020665.82113755;-18975940.63636349;-3575111.618800476;-364708509.302703;-316735310.32643694;60738691.637281686;222924502.83144635;-2527379.2080473243
2015-06-30;20257.0;-12709000.0;73594000.0;-3610000.0;494652000.0;17141000.0;400794000.0;-453101000.0;240521000.0;2774609000.0;-523830000.0;-409532000.0;-794000.0;0.0;0.0;-2628000.0;0.0;0.0;0.0;185615000.0;968370000.0;16071000.0;-755245000.0;-66205751.36452365;61718578.097871244;-10008033.707677554;399257309.224425;486438228.93735504;43130885.792927906;-254965019.77739617;31072014.720880937;2275393.5556965433;459871.7787374514;-185653.3045728095;-304283521.489826;158983372.56434417;-3239525.0588518414
2015-09-30;20257.0;39219000.0;407819000.0;119000.0;-417819000.0;12021000.0;-427451000.0;25218000.0;158993000.0;-1277916000.0;-85095000.0;-581577000.0;-1222000.0;0.0;0.0;1314000.0;0.0;0.0;0.0;0.0;192859000.0;-97083000.0;-1033364000.0;-43338951.36423441;14904859.020207606;6593918.857781881;-435609529.04772484;-403666636.9249039;247972867.97296733;125999789.950751;-8462445.29147239;3613486.7591893002;459871.7787374514;-185653.3045728095;186826040.98916587;142993651.6668166;-1734916.7110652057
2015-12-31;20257.0;-67303000.0;101385500.0;87500.0;-529270500.0;41203500.0;-553863000.0;134915500.0;206339000.0;-1344621000.0;-50190000.0;179785500.0;-1183500.0;147633000.0;15294000.0;-28000.0;128328500.0;6248500.0;129374000.0;-215798500.0;-640972000.0;-250837000.0;-521246000.0;266515415.39844155;30841949.583937846;4898157.37635033;-563032195.9635034;-512386281.11923724;329805359.5297542;-40165351.55663592;-24867269.24526791;168457.13555007055;155526360.3913353;103556312.99116795;280792434.3426569;189151310.8125325;-2608692.4302574596
