DT_REFER;CD_CVM;CD_CONTA;DT_FIM_EXERC_PENULTIMO_BP;DT_FIM_EXERC_PENULTIMO;VL_CONTA_PENULTIMO;VL_CONTA
2011-03-31;20257;3.07;;2010-03-31;104049000.0;103002000.0
2011-03-31;20257;3.08;;2010-03-31;-34785000.0;-30168000.0
2011-03-31;20257;3.09;;2010-03-31;69264000.0;72834000.0
2011-03-31;20257;3.11;;2010-03-31;69264000.0;72834000.0
2011-03-31;20257;5.01;;2010-03-31;2207369000.0;2508354000.0
2011-03-31;20257;5.03;;2010-03-31;2207369000.0;2508354000.0
2011-03-31;20257;5.07;;2010-03-31;2276633000.0;2581188000.0
2011-03-31;20257;6.01;;2010-03-31;139931000.0;173212000.0
2011-03-31;20257;6.02;;2010-03-31;-5009000.0;60961000.0
2011-03-31;20257;6.03;;2010-03-31;-52834000.0;-8315000.0
2011-03-31;20257;6.05;;2010-03-31;82088000.0;225858000.0
2011-03-31;20257;7.01;;2010-03-31;177906000.0;172055000.0
2011-03-31;20257;7.02;;2010-03-31;-14578000.0;-8059000.0
2011-03-31;20257;7.03;;2010-03-31;163328000.0;163996000.0
2011-03-31;20257;7.04.01;;2010-03-31;-3654000.0;-373000.0
2011-03-31;20257;7.05;;2010-03-31;159674000.0;163623000.0
2011-03-31;20257;7.06;;2010-03-31;8823000.0;14614000.0
2011-03-31;20257;7.07;;2010-03-31;168497000.0;178237000.0
2011-03-31;20257;7.08;;2010-03-31;168497000.0;178237000.0
2011-06-30;2453;1.01;2010-12-31;;8085576000.0;9161417000.0
2011-06-30;2453;1.01.01;2010-12-31;;2979693000.0;3037108000.0
2011-06-30;2453;1.01.02;2010-12-31;;321858000.0;715415000.0
2011-06-30;2453;1.01.03;2010-12-31;;3288473000.0;3678559000.0
2011-06-30;2453;1.01.04;2010-12-31;;41080000.0;49810000.0
2011-06-30;2453;1.02.01;2010-12-31;;12438058000.0;12459957000.0
2011-06-30;2453;1.02.02;2010-12-31;;0.0;0.0
2011-06-30;2453;1.02.03;2010-12-31;;8228513000.0;8353210000.0
2011-06-30;2453;1.02.04;2010-12-31;;4803687000.0;5300317000.0
2011-06-30;2453;2.01;2010-12-31;;6403358000.0;11121657000.0
2011-06-30;2453;2.01.02;2010-12-31;;1121009000.0;1052727000.0
2011-06-30;2453;2.01.03;2010-12-31;;540568000.0;1024181000.0
2011-06-30;2453;2.01.04;2010-12-31;;2202566000.0;7241371000.0
2011-06-30;2453;2.01.05;2010-12-31;;2226686000.0;1510518000.0
2011-06-30;2453;2.01.06;2010-12-31;;69271000.0;54562000.0
2011-06-30;2453;2.01.07;2010-12-31;;0.0;0.0
2011-06-30;2453;2.02.01;2010-12-31;;11023924000.0;6637629000.0
2011-06-30;2453;2.02.02;2010-12-31;;4281512000.0;4621376000.0
2011-06-30;2453;2.02.03;2010-12-31;;0.0;0.0
2011-06-30;2453;2.02.04;2010-12-31;;370907000.0;437192000.0
2011-06-30;2453;2.03.01;2010-12-31;;3412073000.0;3412073000.0
2011-06-30;2453;2.03.02;2010-12-31;;3980974000.0;3980974000.0
