DT_REFER;CD_CVM;VL_CONTA_1.01;VL_CONTA_1.01.01;VL_CONTA_1.02.03;VL_CONTA_2.01;VL_CONTA_2.01.03;VL_CONTA_2.01.04;VL_CONTA_2.02.01;VL_CONTA_3.11;VL_CONTA_6.01;VL_CONTA_6.02;VL_CONTA_6.03;VL_CONTA_7.04.01;VL_CONTA_PENULTIMO_1.01;VL_CONTA_PENULTIMO_1.01.01;VL_CONTA_PENULTIMO_1.02.03;VL_CONTA_PENULTIMO_2.01;VL_CONTA_PENULTIMO_2.01.03;VL_CONTA_PENULTIMO_2.01.04;VL_CONTA_PENULTIMO_2.02.01;VL_CONTA_PENULTIMO_6.01;VL_CONTA_PENULTIMO_6.02;VL_CONTA_PENULTIMO_6.03;VL_CONTA_1.01_pred_arimax;VL_CONTA_1.01.01_pred_arimax;VL_CONTA_1.02.03_pred_arimax;VL_CONTA_2.01_pred_arimax;VL_CONTA_2.01.04_pred_arimax;VL_CONTA_2.02.01_pred_arimax;VL_CONTA_PENULTIMO_1.01_pred_arimax;VL_CONTA_PENULTIMO_1.01.01_pred_arimax;VL_CONTA_PENULTIMO_1.02.03_pred_arimax;VL_CONTA_PENULTIMO_2.01_pred_arimax;VL_CONTA_PENULTIMO_2.01.04_pred_arimax;VL_CONTA_PENULTIMO_2.02.01_pred_arimax;VL_CONTA_3.11_pred_arimax;VL_CONTA_7.04.01_pred_arimax
2014-06-30;20257.0;5919683000.0;263731104000.0;201952000.0;-44249306000.0;60336000.0;43831699000.0;12848891000.0;80081000.0;-88197431000.0;16071000.0;-1214790000.0;-735000.0;10883436000.0;27962000.0;7832730000.0;6602250000.0;-5425000.0;6641170000.0;50852910000.0;-969182000.0;-180216000.0;-744639000.0;549118883.1827203;6329898893.819852;11269802.361750431;-2054136768.3707433;518813277.36905074;2078785185.1559188;706681342.3323222;-293457236.9464758;130033423.64370441;789409665.8729154;888205699.9196926;1938190304.4888499;80263319.54826476;-734834.2315058014
2014-09-30;20257.0;6671010000.0;338588148000.0;269856000.0;-62224811000.0;105160000.0;52114767000.0;14755188000.0;497621000.0;-105055102000.0;-97083000.0;-1492909000.0;-1080000.0;11590068000.0;-265476000.0;11687100000.0;7391604000.0;-5425000.0;7529313000.0;66738183000.0;-785099000.0;-212574000.0;-1011076000.0;1034015654.3236513;7232998851.954331;7556967.189302999;-2245111827.5152564;551768800.4213676;1905996380.5708857;706681342.3323222;-293457236.9464758;155216867.80836385;789409665.8729154;888205699.9196926;1938358416.9435344;495600078.0876439;-1079837.9126113316
2015-03-31;20257.0;7411162000.0;426389775000.0;350089000.0;-84624883000.0;10755000.0;60738113000.0;16652088000.0;201933000.0;-124959080000.0;-404591000.0;-468673000.0;-405000.0;12295618000.0;-578201000.0;16925907000.0;7835155000.0;-4193000.0;8081102000.0;84375765000.0;-1476486000.0;-225723000.0;35707000.0;1023932938.2363551;7751909187.444342;10468137.480662484;-2623803835.1499023;521112280.33865243;1896586490.1161563;705599417.6678932;-312742970.6405012;184112368.34154826;443630844.9344244;551875263.589865;1753016979.6779785;202692465.94875228;-405160.3062085732
2015-06-30;20257.0;8138605000.0;528126253000.0;442096000.0;-111472103000.0;17141000.0;70057976000.0;18095887000.0;240521000.0;-145134756000.0;-523830000.0;-878205000.0;-794000.0;13001168000.0;-890926000.0;23889111000.0;8278706000.0;-4193000.0;8632891000.0;103765656000.0;-1199503000.0;16071000.0;-755245000.0;1011230650.2662605;8341835764.464138;9771142.335946672;-2508169996.3324914;890998029.508055;1443555483.5240808;705599266.9967513;-312745503.2524504;214092740.67344257;443582486.81140625;551828136.2495204;1753137883.1195824;240356230.57678664;-793815.2322514519
2015-09-30;20257.0;8905267000.0;645195669000.0;545441000.0;-143206871000.0;12021000.0;80003144000.0;19564904000.0;158993000.0;-166860046000.0;-85095000.0;-1459782000.0;-1222000.0;13706718000.0;-1203651000.0;32967030000.0;8722257000.0;-4193000.0;9184680000.0;124907856000.0;-729661000.0;-97083000.0;-1033364000.0;1050224908.206316;9337701515.334103;9192486.055010682;-2810022545.208913;833758413.9182656;1468698849.8205566;705599266.9967513;-312745503.2524504;246471178.23723343;443582486.81140625;551828136.2495204;1753289917.1422756;159419311.62802905;-1221798.9176743475
2016-03-31;20257.0;9498104000.0;778791062000.0;659744000.0;-180910309000.0;70386000.0;89822130000.0;21278534000.0;253685000.0;-191546276000.0;-15285000.0;-518634000.0;-1145000.0;14707534000.0;-1485788000.0;44602567000.0;9422465000.0;8304000.0;9995217000.0;147370768000.0;-1734622000.0;-404591000.0;-9128000.0;876863449.8989502;10130074478.0652;8669835.389412066;-3752310074.4563046;96554115.92027283;1713294639.8223934;1000844821.0812366;-282159500.5618931;279877957.11802655;700221639.0358751;810558108.4118768;1322089947.0487707;253478095.45951632;-1145018.186854539
2016-06-30;20257.0;9829560000.0;929777847000.0;784594000.0;-225027784000.0;14440000.0;99528105000.0;22986659000.0;207207000.0;-216524248000.0;-24018000.0;-1075741000.0;-1785000.0;15708350000.0;-1767925000.0;59296177000.0;10122673000.0;8304000.0;10805754000.0;171154392000.0;-1439777000.0;-523830000.0;-418660000.0;615865552.5028245;10595393676.774532;8116200.318054921;-4059331741.775597;123428930.31589341;1707829095.430644;1000885937.5926564;-282155483.99455225;317052227.1336657;700257530.716339;810594362.1952701;1322132009.4536521;207463944.69222185;-1784696.0119304096
2016-09-30;20257.0;10414434000.0;1099263928000.0;919928000.0;-275864576000.0;27673000.0;109168600000.0;24728985000.0;217556000.0;-242914461000.0;-291547000.0;-1290826000.0;-2491000.0;16709166000.0;-2050062000.0;77609464000.0;10822881000.0;8304000.0;11616291000.0;196258728000.0;-1123042000.0;-85095000.0;-1000237000.0;867055525.467986;11300060578.654243;7910498.05157108;-4226239031.437687;184776682.08354545;1742023899.9714794;1000885937.5926564;-282155483.99455225;356624829.2251967;700257530.716339;810594362.1952701;1322246457.5245974;217531782.8906597;-2490668.308126377
2017-03-31;20257.0;11169828000.0;1288327457000.0;1065818000.0;-333246939000.0;51101000.0;119272721000.0;25630772000.0;201367000.0;-272228210000.0;-237617000.0;-474154000.0;-815000.0;17582648000.0;-2363135000.0;100167492000.0;11589032000.0;9110000.0;12471644000.0;222256872000.0;-2195743000.0;-15285000.0;-59089000.0;1037756886.1955173;11975618945.111158;7839814.87458973;-3914350077.274259;727455999.0645263;901553894.2037241;873560803.3778554;-313089452.86261725;397309754.7046268;766195919.8834281;855407222.5583327;895699435.2738042;201433658.75231832;-815398.0343786202
2017-06-30;20257.0;11852233000.0;1497924535000.0;1221399000.0;-397501244000.0;86932000.0;129855894000.0;26555561000.0;72034000.0;-301875533000.0;-378994000.0;-853092000.0;-1624000.0;18456130000.0;-2676208000.0;127663668000.0;12355183000.0;9110000.0;13326997000.0;249148824000.0;-1988682000.0;-24018000.0;-616196000.0;965833363.5230621;12529532854.365238;6832323.847342359;-4102197721.5318966;756848538.1298006;924419672.3588176;873543071.8074574;-313093515.12648726;441678205.51775664;766205141.5492499;855413501.8322074;895705305.2852168;72701697.79145357;-1623615.7400807831
