DT_REFER;CD_CVM;VL_CONTA_1.01;VL_CONTA_1.01.01;VL_CONTA_1.02.03;VL_CONTA_2.01;VL_CONTA_2.01.03;VL_CONTA_2.01.04;VL_CONTA_2.02.01;VL_CONTA_3.11;VL_CONTA_6.01;VL_CONTA_6.02;VL_CONTA_6.03;VL_CONTA_7.04.01;VL_CONTA_PENULTIMO_1.01;VL_CONTA_PENULTIMO_1.01.01;VL_CONTA_PENULTIMO_1.02.03;VL_CONTA_PENULTIMO_2.01;VL_CONTA_PENULTIMO_2.01.03;VL_CONTA_PENULTIMO_2.01.04;VL_CONTA_PENULTIMO_2.02.01;VL_CONTA_PENULTIMO_6.01;VL_CONTA_PENULTIMO_6.02;VL_CONTA_PENULTIMO_6.03;VL_CONTA_1.01_pred_arimax;VL_CONTA_1.01.01_pred_arimax;VL_CONTA_1.02.03_pred_arimax;VL_CONTA_2.01_pred_arimax;VL_CONTA_2.01.04_pred_arimax;VL_CONTA_2.02.01_pred_arimax;VL_CONTA_PENULTIMO_1.01_pred_arimax;VL_CONTA_PENULTIMO_1.01.01_pred_arimax;VL_CONTA_PENULTIMO_1.02.03_pred_arimax;VL_CONTA_PENULTIMO_2.01_pred_arimax;VL_CONTA_PENULTIMO_2.01.04_pred_arimax;VL_CONTA_PENULTIMO_2.02.01_pred_arimax;VL_CONTA_3.11_pred_arimax;VL_CONTA_7.04.01_pred_arimax;FCFE
2011-04-10;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7201681.318681318;-13915000.0;511000.0;72824329.67032968;-521295000.0;60901439.56043956;-467860000.0;-413989.010989011;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5344494.505494505;-55983230.76923077;-297768649.18248355;412178969.8252601;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;75086659.89838387;-413811.8429422026;-467758659.3406593
2011-04-11;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7170549.450549451;-13915000.0;511000.0;72823362.63736264;-521295000.0;60895483.51648352;-467860000.0;-418087.9120879121;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5378043.956043956;-56298153.84615385;-294438831.32643443;412159461.5903687;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;74756282.54489505;-417910.74404110375;-467763725.27472526
2011-04-12;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7139417.582417582;-13915000.0;511000.0;72822395.6043956;-521295000.0;60889527.472527474;-467860000.0;-422186.8131868132;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5411593.406593407;-56613076.92307692;-277738893.07270896;399571214.9154438;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;71630043.5827742;-422009.6451400049;-467768791.2087912
2011-04-13;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7108285.714285715;-13915000.0;511000.0;72821428.57142857;-521295000.0;60883571.42857143;-467860000.0;-426285.7142857143;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5445142.857142857;-56928000.0;-281876777.4285627;397045698.1245799;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;71462368.8423745;-426108.5462389061;-467773857.14285713
2011-04-14;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7077153.846153846;-13915000.0;511000.0;72820461.53846154;-521295000.0;60877615.38461538;-467860000.0;-430384.6153846154;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5478692.307692308;-57242923.07692308;-287416232.1222388;398361910.4164219;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;72100685.77622695;-430207.44733780704;-467778923.0769231
2011-04-15;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7046021.978021978;-13915000.0;511000.0;72819494.5054945;-521295000.0;60871659.34065934;-467860000.0;-434483.5164835165;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5512241.758241759;-57557846.15384615;-290696539.05031234;400667100.6828731;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;72762933.3033724;-434306.3484367082;-467783989.010989
2011-04-16;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;7014890.10989011;-13915000.0;511000.0;72818527.47252747;-521295000.0;60865703.296703294;-467860000.0;-438582.4175824176;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5545791.208791208;-57872769.23076923;-291997582.88560545;402807074.89577794;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;73233967.32811578;-438405.2495356093;-467789054.94505495
2011-04-17;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6983758.241758242;-13915000.0;511000.0;72817560.43956044;-521295000.0;60859747.25274725;-467860000.0;-442681.31868131866;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5579340.659340659;-58187692.307692304;-292261723.1443429;404458510.4006344;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;73520231.32816252;-442504.1506345104;-467794120.8791209
2011-04-18;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6952626.373626374;-13915000.0;511000.0;72816593.40659341;-521295000.0;60853791.20879121;-467860000.0;-446780.2197802198;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5612890.10989011;-58502615.38461538;-288174155.3482361;403383411.6686223;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;73056499.05478318;-446603.0517334114;-467799186.8131868
2011-04-19;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6921494.505494505;-13915000.0;511000.0;72815626.37362637;-521295000.0;60847835.16483516;-467860000.0;-450879.1208791209;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5646439.560439561;-58817538.461538464;-286790774.4546039;402146222.3392506;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;72706564.76763925;-450701.9528323126;-467804252.74725276
2011-04-20;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6890362.637362638;-13915000.0;511000.0;72814659.34065934;-521295000.0;60841879.12087912;-467860000.0;-454978.021978022;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5679989.010989011;-59132461.538461536;-287272336.18264854;401471115.340081;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;72596628.13013329;-454800.8539312137;-467809318.6813187
2011-04-21;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6859230.769230769;-13915000.0;511000.0;72813692.3076923;-521295000.0;60835923.07692308;-467860000.0;-459076.9230769231;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5713538.461538462;-59447384.615384616;-288302121.4319556;401377824.42064416;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;72653127.51809224;-458899.7550301147;-467814384.61538464
2011-04-22;20257.0;-288776000.0;402190000.0;143000.0;-138449000.0;6828098.901098901;-13915000.0;511000.0;72812725.27472527;-521295000.0;60829967.03296703;-467860000.0;-463175.8241758242;0.0;0.0;1199000.0;0.0;0.0;0.0;0.0;7112000.0;-5747087.912087912;-59762307.692307696;-289223649.5165565;401685424.8609801;143000.0;-138391175.69963664;-13909106.334976574;511000.0;0.0;0.0;1199000.0;0.0;0.0;0.0;72786516.2420029;-462998.6561290159;-467819450.5494505
