DT_REFER;CD_CVM;VL_CONTA_1.01;VL_CONTA_1.01.01;VL_CONTA_1.02.03;VL_CONTA_2.01;VL_CONTA_2.01.03;VL_CONTA_2.01.04;VL_CONTA_2.02.01;VL_CONTA_3.11;VL_CONTA_6.01;VL_CONTA_6.02;VL_CONTA_6.03;VL_CONTA_7.04.01;VL_CONTA_PENULTIMO_1.01;VL_CONTA_PENULTIMO_1.01.01;VL_CONTA_PENULTIMO_1.02.03;VL_CONTA_PENULTIMO_2.01;VL_CONTA_PENULTIMO_2.01.03;VL_CONTA_PENULTIMO_2.01.04;VL_CONTA_PENULTIMO_2.02.01;VL_CONTA_PENULTIMO_6.01;VL_CONTA_PENULTIMO_6.02;VL_CONTA_PENULTIMO_6.03
2018-06-30;20257;-55683000.0;-32007000.0;-1312000.0;715083000.0;73761000.0;662052000.0;61543000.0;259251000.0;2512631000.0;-154977000.0;-418598000.0;-3081000.0;0.0;0.0;-3516000.0;0.0;0.0;0.0;-222294000.0;1234828000.0;-344906000.0;-393547000.0
2018-09-30;20257;602939000.0;102152000.0;21000.0;-38415000.0;58260000.0;-16991000.0;549258000.0;267719000.0;-1234947000.0;-678592000.0;317589000.0;-4741000.0;0.0;0.0;1758000.0;0.0;0.0;0.0;0.0;31666000.0;-706538000.0;-475241000.0
2019-03-31;20257;-410538000.0;-334298000.0;37794000.0;-35444000.0;45991000.0;-19091000.0;-89336000.0;159582000.0;-1099208000.0;-406349000.0;339364000.0;-3386000.0;-19126000.0;-35811000.0;-59000.0;2027000.0;-34022000.0;26501000.0;268294000.0;-1220076000.0;-248485000.0;-17821000.0
2019-06-30;20257;1070618000.0;218547000.0;-44231000.0;90719000.0;42811000.0;44367000.0;1064415000.0;307424000.0;2176890000.0;-1546851000.0;874075000.0;-6584000.0;0.0;0.0;118000.0;0.0;0.0;0.0;-268294000.0;1163731000.0;-154977000.0;-436419000.0
2019-09-30;20257;-192919000.0;-13197000.0;9458000.0;221592000.0;40028000.0;213778000.0;-251719000.0;357840000.0;-1113114000.0;-1412201000.0;-361930000.0;-10374000.0;0.0;0.0;-59000.0;0.0;0.0;0.0;0.0;-16912000.0;-678592000.0;-118830000.0
2020-03-31;20257;97294000.0;198114000.0;-3860000.0;-313367000.0;46084000.0;-278176000.0;1150815000.0;364187000.0;-761942000.0;24286000.0;-713060000.0;-3446000.0;1640759000.0;61693000.0;33221000.0;349696000.0;-4037000.0;314722000.0;1728527000.0;-1116120000.0;-406349000.0;220534000.0
2020-06-30;20257;613153000.0;1124142000.0;722000.0;164549000.0;45519000.0;144854000.0;804329000.0;437848000.0;1411780000.0;776713000.0;559341000.0;-7491000.0;0.0;0.0;-66442000.0;0.0;0.0;0.0;-1728527000.0;1060770000.0;-1546851000.0;1094609000.0
2020-09-30;20257;-483009000.0;-1049077000.0;-1033000.0;-409518000.0;54331000.0;-403262000.0;65403000.0;631914000.0;-366835000.0;1437529000.0;-628784000.0;-12102000.0;0.0;0.0;33221000.0;0.0;0.0;0.0;0.0;-52344000.0;-1412201000.0;732679000.0
2021-03-31;20257;-739854000.0;-1033679000.0;24822000.0;230610000.0;48052000.0;159113000.0;-55593000.0;555852000.0;-620626000.0;-24113000.0;36493000.0;-4687000.0;-1208269000.0;813469000.0;17237000.0;-154858000.0;14426000.0;-293263000.0;1202845000.0;-814286000.0;24286000.0;19619000.0
2021-06-30;20257;-365958000.0;465750000.0;-19792000.0;256260000.0;44242000.0;470795000.0;-10304000.0;697895000.0;1042021000.0;-32878000.0;-789219000.0;-10495000.0;0.0;0.0;-34474000.0;0.0;0.0;0.0;-1202845000.0;597494000.0;776713000.0;578960000.0
2021-09-30;20257;268107000.0;550636000.0;2408000.0;-107546000.0;54965000.0;-306001000.0;148889000.0;536889000.0;-805843000.0;-65831000.0;-60606000.0;-16513000.0;0.0;0.0;17237000.0;0.0;0.0;0.0;0.0;230659000.0;1437529000.0;-49824000.0
2022-03-31;20257;806414000.0;236978000.0;-1545000.0;77265000.0;53363000.0;47770000.0;590544000.0;559923000.0;-803591000.0;-46943000.0;1593118000.0;-6856000.0;-224978000.0;-511207000.0;12673000.0;575487000.0;3737000.0;508307000.0;43793000.0;-389967000.0;-24113000.0;-13331000.0
2022-06-30;20257;626128000.0;-95486000.0;633000.0;-348646000.0;35654000.0;-108035000.0;957125000.0;564022000.0;2203217000.0;-102859000.0;-184608000.0;-13946000.0;0.0;0.0;-25346000.0;0.0;0.0;0.0;-43793000.0;652054000.0;-32878000.0;-802550000.0
2022-09-30;20257;-332635000.0;-668395000.0;27191000.0;-150307000.0;40660000.0;-309817000.0;156563000.0;302454000.0;-1440440000.0;-165082000.0;-652093000.0;-19727000.0;0.0;0.0;12673000.0;0.0;0.0;0.0;0.0;-153789000.0;-65831000.0;-863156000.0
2023-03-31;20257;-424416000.0;-246174000.0;54555000.0;460843000.0;41973000.0;416956000.0;782209000.0;386772000.0;-2148306000.0;-21736000.0;540723000.0;-5236000.0;954485000.0;698350000.0;117363000.0;-395613000.0;-19927000.0;-320125000.0;1671427000.0;-957380000.0;-46943000.0;729962000.0
2023-06-30;20257;402269000.0;808658000.0;-80050000.0;-99849000.0;45375000.0;-88561000.0;64883000.0;220326000.0;4718099000.0;-37759000.0;-168090000.0;-9024000.0;0.0;0.0;-234726000.0;0.0;0.0;0.0;-1671427000.0;1245837000.0;-102859000.0;545354000.0
