DT_REFER;CD_CVM;CD_CONTA;VL_CONTA_PENULTIMO;VL_CONTA
2011-06-30;2453;3.02;-2408215000.0;-2443340000.0
2011-06-30;2453;3.03;1023357000.0;1376660000.0
2011-06-30;2453;3.04;-189296000.0;-338019000.0
2011-06-30;2453;3.05;834061000.0;1038641000.0
2011-06-30;2453;3.06;-226837000.0;-256435000.0
2011-06-30;2453;3.07;607224000.0;782206000.0
2011-06-30;2453;3.08;-200110000.0;-259149000.0
2011-06-30;2453;3.09;407114000.0;523057000.0
2011-06-30;2453;3.11;407114000.0;523057000.0
2011-06-30;2453;5.01;11165501000.0;11476133000.0
2011-06-30;2453;5.03;11165501000.0;11476133000.0
2011-06-30;2453;5.07;12190503000.0;12457047000.0
2011-06-30;2453;6.01;1523321000.0;1771361000.0
2011-06-30;2453;6.02;-2863575000.0;-1480708000.0
2011-06-30;2453;6.03;678681000.0;-233238000.0
2011-06-30;2453;6.05;-661573000.0;57415000.0
2011-06-30;2453;7.01;9390033000.0;10708664000.0
2011-06-30;2453;7.02;-3189835000.0;-3944033000.0
2011-06-30;2453;7.03;6200198000.0;6764631000.0
2011-06-30;2453;7.04.01;-437862000.0;-462186000.0
2011-06-30;2453;7.05;5762336000.0;6302445000.0
2011-06-30;2453;7.06;433390000.0;520558000.0
2011-06-30;2453;7.07;6195726000.0;6823003000.0
2011-06-30;2453;7.08;6195726000.0;6823003000.0
2011-06-30;20257;1.01;1081396000.0;1015506000.0
2011-06-30;20257;1.01.01;414578000.0;356012000.0
2011-06-30;20257;1.01.02;0.0;0.0
2011-06-30;20257;1.01.03;634773000.0;639443000.0
2011-06-30;20257;1.01.04;786000.0;786000.0
2011-06-30;20257;1.02.01;3477534000.0;3294360000.0
2011-06-30;20257;1.02.02;0.0;0.0
2011-06-30;20257;1.02.03;12741000.0;12622000.0
2011-06-30;20257;1.02.04;4159000.0;4022000.0
2011-06-30;20257;2.01;308216000.0;457749000.0
2011-06-30;20257;2.01.02;11578000.0;5017000.0
2011-06-30;20257;2.01.03;16189000.0;4680000.0
2011-06-30;20257;2.01.04;54017000.0;88673000.0
2011-06-30;20257;2.01.05;226432000.0;359379000.0
2011-06-30;20257;2.02.01;1487279000.0;1488052000.0
2011-06-30;20257;2.02.02;7509000.0;9601000.0
2011-06-30;20257;2.02.03;264013000.0;253729000.0
2011-06-30;20257;2.02.04;459000.0;459000.0
2011-06-30;20257;2.03.01;1312536000.0;1312536000.0
2011-06-30;20257;2.03.02;594507000.0;594507000.0
2011-06-30;20257;2.03.04;601311000.0;64297000.0
2011-06-30;20257;3.01;164974000.0;162365000.0
2011-06-30;20257;3.02;-14058000.0;-12760000.0
2011-06-30;20257;3.03;150916000.0;149605000.0
2011-06-30;20257;3.04;-10830000.0;-8158000.0
2011-06-30;20257;3.05;140086000.0;141447000.0
2011-06-30;20257;3.06;-31684000.0;-38917000.0
2011-06-30;20257;3.07;108402000.0;102530000.0
2011-06-30;20257;3.08;-36130000.0;-29784000.0
2011-06-30;20257;3.09;72272000.0;72746000.0
2011-06-30;20257;3.11;72272000.0;72746000.0
2011-06-30;20257;5.01;2207369000.0;2508354000.0
2011-06-30;20257;5.03;2207369000.0;2508354000.0
2011-06-30;20257;5.07;2348905000.0;2116920000.0
2011-06-30;20257;6.01;289545000.0;357190000.0
