DT_REFER;CD_CONTA;CD_CVM;GRUPO_DFP;ORDEM_EXERC;DS_CONTA;VL_CONTA
2011-09-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;0.0
2011-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;12741000.0
2011-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;12949000.0
2011-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;4159000.0
2011-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;3953000.0
2012-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1556749000.0
2012-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;1754579000.0
2012-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;495406000.0
2012-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;691090000.0
2012-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2012-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2012-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;996845000.0
2012-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;1004641000.0
2012-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;3099000.0
2012-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;3099000.0
2012-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;4907087000.0
2012-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;4832303000.0
2012-03-31;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;0.0
2012-03-31;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;0.0
2012-03-31;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;13940000.0
2012-03-31;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;14292000.0
2012-03-31;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;6447000.0
2012-03-31;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;6369000.0
2012-06-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1556749000.0
2012-06-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;2578940000.0
2012-06-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;495406000.0
2012-06-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;1529686000.0
2012-06-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2012-06-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2012-06-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;999944000.0
2012-06-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;1011221000.0
2012-06-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;0.0
2012-06-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;0.0
2012-06-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;4615235000.0
2012-06-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;4503117000.0
2012-06-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;0.0
2012-06-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;0.0
2012-06-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;13940000.0
2012-06-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;14825000.0
2012-06-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;6447000.0
2012-06-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;6270000.0
2012-09-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1556749000.0
2012-09-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;4023306000.0
2012-09-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;495406000.0
2012-09-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;813234000.0
2012-09-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2012-09-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;1887626000.0
2012-09-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;958731000.0
2012-09-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;1209127000.0
2012-09-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;0.0
2012-09-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;0.0
2012-09-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;4615235000.0
2012-09-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;5877768000.0
2012-09-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;0.0
2012-09-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;0.0
2012-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;13940000.0
2012-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;16394000.0
2012-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;6447000.0
2012-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;6045000.0
2013-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;3762674000.0
2013-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;3724741000.0
2013-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;538696000.0
2013-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;490462000.0
2013-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;1938765000.0
2013-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;1948085000.0
2013-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;1161356000.0
2013-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;1171192000.0
2013-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;0.0
2013-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;0.0
2013-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;5635748000.0
2013-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;5474944000.0
2013-03-31;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;161733000.0
2013-03-31;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;164247000.0
2013-03-31;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;17458000.0
2013-03-31;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;17132000.0
2013-03-31;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;7294000.0
2013-03-31;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;7408000.0
2013-06-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;3762674000.0
2013-06-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;1903437000.0
2013-06-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;538696000.0
2013-06-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;131378000.0
2013-06-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2013-06-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2013-06-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;155073000.0
2013-06-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;148075000.0
2013-06-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;0.0
2013-06-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;0.0
2013-06-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;5635748000.0
2013-06-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;5377029000.0
2013-06-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;161733000.0
2013-06-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;1855758000.0
2013-06-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;17458000.0
2013-06-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;17986000.0
2013-06-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;7294000.0
2013-06-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;7458000.0
2013-09-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;3762674000.0
2013-09-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;1973895000.0
2013-09-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;538696000.0
2013-09-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;152056000.0
2013-09-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2013-09-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2013-09-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;155073000.0
2013-09-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;160085000.0
2013-09-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;0.0
2013-09-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;0.0
2013-09-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;5635748000.0
2013-09-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;5547309000.0
2013-09-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;161733000.0
2013-09-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;1970530000.0
2013-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;17458000.0
2013-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;22189000.0
2013-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;7294000.0
2013-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;7457000.0
2014-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1788028000.0
2014-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;2107394000.0
2014-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;121140000.0
2014-03-31;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;212137000.0
2014-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2014-03-31;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2014-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;156844000.0
2014-03-31;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;169618000.0
2014-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;0.0
2014-03-31;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;0.0
2014-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;5450144000.0
2014-03-31;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;5404165000.0
2014-03-31;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;1885077000.0
2014-03-31;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;1896377000.0
2014-03-31;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;22861000.0
2014-03-31;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;23319000.0
2014-03-31;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;7969000.0
2014-03-31;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;8173000.0
2014-06-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1788028000.0
2014-06-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;1856289000.0
2014-06-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;121140000.0
2014-06-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;75352000.0
2014-06-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2014-06-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2014-06-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;156844000.0
2014-06-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;163863000.0
2014-06-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;0.0
2014-06-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;0.0
2014-06-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;5450144000.0
2014-06-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;5184910000.0
2014-06-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;1885077000.0
2014-06-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;1810004000.0
2014-06-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;22861000.0
2014-06-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;24119000.0
2014-06-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;7969000.0
2014-06-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;8516000.0
2014-09-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1788028000.0
2014-09-30;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;2344385000.0
2014-09-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Caixa e Equivalentes de Caixa;121140000.0
2014-09-30;1.01.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Caixa e Equivalentes de Caixa;289311000.0
2014-09-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Aplicações Financeiras;0.0
2014-09-30;1.01.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Aplicações Financeiras;0.0
2014-09-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Contas a Receber;156844000.0
2014-09-30;1.01.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Contas a Receber;214232000.0
2014-09-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Estoques;0.0
2014-09-30;1.01.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Estoques;0.0
2014-09-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Realizável a Longo Prazo;5450144000.0
2014-09-30;1.02.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Realizável a Longo Prazo;5236527000.0
2014-09-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Investimentos;1885077000.0
2014-09-30;1.02.02;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Investimentos;1723883000.0
2014-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Imobilizado;22861000.0
2014-09-30;1.02.03;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Imobilizado;20447000.0
2014-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Intangível;7969000.0
2014-09-30;1.02.04;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Intangível;8974000.0
2015-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;Ativo Circulante;1786946000.0
2015-03-31;1.01;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;Ativo Circulante;2333210000.0
